"X","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","lon","lat"
"utahpublicradio","Statewide #publicradio station in Utah. NPR programming, fine arts and news. 89.5 in Logan to 90.9 in St. George.",15034,3644,779,590,"https://t.co/GpV0DYBxyy","Utah Public Radio","2009-06-24 21:45:48",FALSE,FALSE,"utahpublicradio","Logan, UT","en",50451751,220,FALSE,"http://pbs.twimg.com/profile_images/806254151202009088/_3ClQeQI_normal.jpg",-122.4194155,37.7749295
"Seniors_League","The Senior Citizens League (TSCL) advocates on Capitol Hill for your earned benefits of Medicare, Social Security and more. Retweets <U+2260> endorsements.",1337,232,954,855,"https://t.co/C6edVhkkek","Seniors League","2015-11-18 13:58:57",FALSE,FALSE,"Seniors_League","Washington, DC","en",4218348135,9,FALSE,"http://pbs.twimg.com/profile_images/908405217099702273/CDJcXK4L_normal.jpg",-99.2311361,18.9369695
"dmteeter","Dir, BD & Mktg - Lover of music and clean humor - Advocate of natural food and healing - Supporter of the downtrodden - Priorities: 1) God 2) Family 3) Work",968,128,616,74,"https://t.co/n9Epm99gtJ","Denis Teeter","2010-08-21 17:19:10",FALSE,FALSE,"dmteeter","Michigan, USA","en",181234816,0,FALSE,"http://pbs.twimg.com/profile_images/596413985928404992/gS3S0P2B_normal.jpg",-95.3698028,29.7604267
"IKNGov","A website operated by CMS to provide outreach and enrollment information about Medicaid & the Children’s Health Insurance Program.",2132,5061,293,109,"http://t.co/aDFv8akrWE","InsureKidsNow.gov","2009-10-14 18:48:59",FALSE,TRUE,"IKNGov","Baltimore, MD","en",82428081,159,FALSE,"http://pbs.twimg.com/profile_images/756142605835104256/jhyfipOg_normal.jpg",-84.3346473,33.9462125
"coolwater101","Bold! Talented! Raw! Real! Rapper/blogger/Actor/Consultant.Love To flirt.A Realist on life.Orange Personality Type",15613,4302,589,3012,"http://t.co/6tjfZR1xk7","coolwater101","2008-11-28 21:07:37",FALSE,FALSE,"coolwater101","Atlanta,Georgia","en",17719638,59,FALSE,"http://pbs.twimg.com/profile_images/903793642044784641/TTdG-yuZ_normal.jpg",-111.0937311,34.0489281
"ArthurCaplan","Professor, NYU School of Medicine",25358,7562,8585,1470,"https://t.co/YgqQ3Hry4j","Arthur Caplan","2008-11-23 14:46:10",FALSE,FALSE,"ArthurCaplan","NYU Langone Medical Ctr","en",17573273,362,FALSE,"http://pbs.twimg.com/profile_images/643900230786789377/WP5GofGy_normal.jpg",-74.6514481,40.3439888
"JoshFitzWx","@NBC29, @CW29 & local @WeatherNation Meteorologist. Previously @WSAZNews and @WOAYNewsWatch",37366,7483,67,89,"https://t.co/6mrYtOxVIM","Josh Fitzpatrick","2011-03-22 16:37:40",FALSE,FALSE,"JoshFitzWx","Charlottesville, Virginia","en",270440459,120,FALSE,"http://pbs.twimg.com/profile_images/955817014039281665/JkPBchhg_normal.jpg",-119.2920585,36.3302284
"thealissasmith","News associate @AP, founder @CFFocus_ | Former @NewsAdvance @OrlandoSentinel @UCFNews | @UCF alumna | Tweets are mine. Got tips? Byalissasmith@gmail.com",1903,299,4652,709,"https://t.co/RSBBGYvTvU","Alissa Smith","2015-02-22 16:29:39",FALSE,FALSE,"thealissasmith","Atlanta, GA","en",3053094815,12,FALSE,"http://pbs.twimg.com/profile_images/896089064302153729/4Oi4AIy3_normal.jpg",-94.5785667,39.0997265
"TFGH","The Task Force for Global Health (TFGH) provides all people with opportunities to lead healthy, productive lives.",2004,1835,1691,642,"https://t.co/4R3Hp6ucqO","The Task Force","2009-11-03 15:26:38",FALSE,FALSE,"TFGH","Decatur GA","en",87213772,80,FALSE,"http://pbs.twimg.com/profile_images/784486685212045313/J5-9Vq5X_normal.jpg",-84.3982763,39.5150576
"Lisa7smithLisa","Vice President, IntelliDent. Mother-Wellness Enthusiast #AmericanMade & #WomenOwned #OralCare Disposable #ToothBrushShield #MouthGuardShield",2701,4933,4732,4914,"http://t.co/jWiCBDGmDc","Lisa Smith","2013-01-04 20:28:57",FALSE,FALSE,"Lisa7smithLisa","lisa7smith@aol.com","en",1061350476,96,FALSE,"http://pbs.twimg.com/profile_images/378800000354761764/fc3f73318d7f5f42a8b66a6249f8fca4_normal.jpeg",-72.7130983,41.7398102
"RVAHealthDept","The mission of the Richmond City Health District is to promote healthy living, protect the environment, prevent disease and prepare the city for disasters.",3208,531,2557,435,"https://t.co/Gv4iO5QNpO","RVA Health District","2009-06-23 15:29:30",FALSE,FALSE,"RVAHealthDept","Richmond, Virginia","en",50006410,65,FALSE,"http://pbs.twimg.com/profile_images/849965319410122756/fyZStMDq_normal.jpg",-81.5157535,27.6648274
"HarmitMalik","Study genetic conflicts professionally. Try to avoid conflicts in personal life (with mixed results).",12925,3889,13827,1284,"https://t.co/CffyvyPSaw","Harmit Malik","2014-04-28 04:49:58",FALSE,FALSE,"HarmitMalik","Seattle, WA","en",2467226497,86,FALSE,"http://pbs.twimg.com/profile_images/890668257627078657/5b-xSHmd_normal.jpg",-72.459634,41.6314378
"DonnaChaffins","Professional Marketing and Content Creator, Brand Ambassador, Social Media Influencer, Freelancer, wife & mom, and a huge coffee lover.",211156,110453,10171,92692,"http://t.co/EPRzQzGBmf","DonnaChaffins","2008-03-27 03:55:03",FALSE,FALSE,"DonnaChaffins","Knoxville, TN","en",14232619,3110,FALSE,"http://pbs.twimg.com/profile_images/887884447265284096/Q_pKVEu__normal.jpg",-74.0059728,40.7127753
"Global_Dispatch","The Global Dispatch is a new and rising source of news for Internet readers. The site offers news, covering the U.S. and the World offering coverage in politics",21033,437,317,387,"http://t.co/S9FihZLfbQ","The Global Dispatch","2012-06-14 19:02:38",FALSE,FALSE,"Global_Dispatch","US","en",608395748,27,FALSE,"http://pbs.twimg.com/profile_images/378800000584455951/7cc15ff975b827cc44288221b1341913_normal.png",-96.6851982,40.8257625
"Carlos_Dente","Português carlosdente@msn.com English carlosdente@gmail.com",2240,173,364,257,"https://t.co/QeSQAL2cWZ","Carlos Dente","2010-12-11 19:59:18",FALSE,FALSE,"Carlos_Dente","Greensboro, NC","en",225526189,1,FALSE,"http://pbs.twimg.com/profile_images/2933791064/8eb00f52ede7bc2935d2888e043d6524_normal.jpeg",-99.9018131,31.9685988
"CaroleWadeNpBch","Charity Volunteer; Political Activist; Contributor and Writer. #museums #art #music #symphony   #universities #politics",8560,294,2558,357,"https://t.co/Pu7DX9AVbh","Carole Wade","2010-10-30 23:36:36",FALSE,FALSE,"CaroleWadeNpBch","Orange County, California","en",210249492,106,FALSE,"http://pbs.twimg.com/profile_images/2744012606/dcb8c52d60163cd33d4ac6181d2bdadb_normal.png",-74.0059728,40.7127753
"WessexAHSN","Connecting health, universities, business, life sciences and technology to spread innovation across the NHS. Improving health and wealth in Wessex. #AHSNs <ed><U+00A0><U+00BD><ed><U+00B2><U+00A1>",9771,3796,5116,983,"https://t.co/HxhZXaz7qO","Wessex AHSN","2012-10-17 09:36:21",FALSE,FALSE,"WessexAHSN","Southampton, England","en",886476062,150,FALSE,"http://pbs.twimg.com/profile_images/781102556797931520/6cJ4t9ez_normal.jpg",-96.0083018,32.7092955
"PBIRx","Our goal is to create optimal health care outcomes while minimizing overall health care costs. Contact us at (888) 797-2479 to get started.",704,156,67,657,"https://t.co/qt4Ykni2uG","PBIRx","2010-01-19 16:51:55",FALSE,FALSE,"PBIRx","Milford, CT","en",106461669,7,FALSE,"http://pbs.twimg.com/profile_images/504251105346207744/ocD2vs8H_normal.png",-74.0059728,40.7127753
"ucanr","University of California Division of Agriculture & Natural Resources. RTs are not endorsements.",29937,7663,5798,1495,"http://t.co/CtPJRKFwUA","Ag&Natural Resources","2008-05-30 19:33:00",FALSE,TRUE,"ucanr","Oakland, CA","en",14957366,445,FALSE,"http://pbs.twimg.com/profile_images/869992913949777924/lzeJbvXF_normal.jpg",-73.9874872,40.6918913
"imagoApps","Maker of medical reference apps. Download our #1 app <U+2B50><U+FE0F>  Smart Medical Reference  <U+2B50><U+FE0F>  designed for students https://t.co/s1gulZCLvf <U+F8FF> https://t.co/oixRd9fUTN",72156,4235,73891,761,"https://t.co/ZlZ8Q2TGmW","Imago Medical Apps","2016-12-17 13:11:40",FALSE,FALSE,"imagoApps","Lehigh Valley, PA/NJ","en",810110213143613440,85,FALSE,"http://pbs.twimg.com/profile_images/810121197413277696/oQb5X53m_normal.jpg",-96.7969879,32.7766642
"HowardPhotonics","Prof. Scott Howard, @EE_NotreDame, @NDengineering @NotreDame. We develop advanced imaging and diagnostic platforms for medicine and defense.",127,51,62,46,"https://t.co/DslGml0dvx","Scott Howard","2016-04-25 15:07:47",FALSE,FALSE,"HowardPhotonics","Notre Dame, IN","en",724615898246569984,0,FALSE,"http://pbs.twimg.com/profile_images/724624885683765249/A_28rIUN_normal.jpg",-96.7969879,32.7766642
"rossclrdglasses","Passionate about discovering sustainable, innovative ways to move, nourish, & live",3828,1177,21599,498,"https://t.co/SLb9gWJ7rQ","Andrea Schpok Ross","2011-04-20 19:45:13",FALSE,FALSE,"rossclrdglasses","New York City","en",285235895,27,FALSE,"http://pbs.twimg.com/profile_images/412351953729884161/_6WfuJga_normal.jpeg",-98.4936282,29.4241219
"abtassociates","Bold Thinkers Driving Real-World Impact. Global leaders in research & program implementation in health, social/environmental policy & international development.",13001,8824,1502,2486,"http://t.co/GNF5heeSJz","Abt Associates","2009-04-27 18:43:33",FALSE,TRUE,"abtassociates","Cambridge, Massachusetts","en",35821300,434,FALSE,"http://pbs.twimg.com/profile_images/543077339215568896/Ba0yyrjC_normal.jpeg",-105.0813734,39.7047095
"utahhospitals","UHA is a trade association representing Utah's hospitals since 1920.",1759,639,50,629,"http://t.co/yCTsnOMOPH","UHA","2011-12-01 16:48:55",FALSE,FALSE,"utahhospitals","Salt Lake City ","en",425941548,35,FALSE,"http://pbs.twimg.com/profile_images/606165196441133056/rk0wItDB_normal.jpg",-83.9811014,34.1140497
"coach_robi","Highwood High teacher & Prov. Skills Animation Medalist Coach, Foothills School Division. Course software includes AdobeCS6, C#, Unity3D & more! #PLN #EDTECH",2855,525,2979,365,"http://t.co/ghvsx3xsRq","Coach_Robi","2010-09-29 15:56:21",FALSE,FALSE,"coach_robi","High River Alberta Canada","en",196645024,37,FALSE,"http://pbs.twimg.com/profile_images/910198339710312448/IcnfIrRR_normal.jpg",-82.3182178,40.8686675
"Healthy_Newark","Believe in a Healthy Newark Initiative  #RWJF  Rutgers, The State U. of NJ  65 Bergen St., Suite 1441  Newark, NJ  07103  973.972.9692  beth.milton@rutgers.edu",315,309,2485,812,"https://t.co/hJuM8D4HCG","Healthy Newark","2016-10-13 01:01:27",FALSE,FALSE,"Healthy_Newark","Newark, NJ","en",786371234439192576,2,FALSE,"http://pbs.twimg.com/profile_images/884866476921978883/c1q77qJy_normal.jpg",-87.6297982,41.8781136
"doctorjarret","#Pediatrician, #Coach, #Author #Speaker, Public #Speaker, #Consultant #Physician",1104,371,194,515,"https://t.co/AWqpRLQCmF","Jarret Patton MD","2017-02-22 16:56:33",FALSE,FALSE,"doctorjarret","Pennsylvania, USA","en",834446790783021056,11,FALSE,"http://pbs.twimg.com/profile_images/962015200852365318/rJxaeaCF_normal.jpg",-96.7969879,32.7766642
"CF_Foundation","The Cystic Fibrosis Foundation is the world’s leader in the search for a cure for cystic fibrosis.",14030,26472,5513,2861,"https://t.co/Y4TX0QFhc1","Cystic Fibrosis Foundation","2009-07-23 17:17:20",FALSE,TRUE,"CF_Foundation","Headquarters in Bethesda, MD","en",59526518,499,FALSE,"http://pbs.twimg.com/profile_images/459019967992582144/Y6g1w4uM_normal.png",-92.1004852,46.7866719
"MVP_Pediatric","Pediatric ICU MD at CHLA, MVP Pediatric Urgent Care Founder, medical script consultant, father of 3, married to the best therapist. My views are my wife's :)",273,226,71,1189,"https://t.co/7CXpQe6tPK","Dr. David Epstein","2011-11-18 15:11:34",FALSE,FALSE,"MVP_Pediatric","Los Angeles, CA","en",415599621,2,FALSE,"http://pbs.twimg.com/profile_images/836841779718651906/kURKgVoN_normal.jpg",-115.1398296,36.1699412
"eliza_coli","Microbiologist turned scientific illustrator, giving your science clarity, impact and pictures. @eliza_coli on Instagram #SciArt #SciComm #Science
& #Labrats",3221,777,3560,377,"https://t.co/1Qgr5ZoEWd","Eliza Wolfson","2016-05-16 13:43:42",FALSE,FALSE,"eliza_coli","Bristol, England","en",732204882858520576,54,FALSE,"http://pbs.twimg.com/profile_images/732209131571052544/O21B0WFS_normal.jpg",144.9630576,-37.8136276
"HemOncToday","The official Twitter feed for HemOnc Today, offering news and perspectives in hematology and oncology.",12888,8606,1031,756,"http://t.co/dn7Q0sShNt","HemOnc Today","2009-03-30 14:27:06",FALSE,FALSE,"HemOncToday","Thorofare, NJ","en",27645777,386,FALSE,"http://pbs.twimg.com/profile_images/2165325942/HOT-icon_normal.jpg",-95.712891,37.09024
"GreenfieldsVet","",206,39,0,22,"http://t.co/Na4gyHLUgG","Greenfields Vet.","2010-10-25 16:39:03",FALSE,FALSE,"GreenfieldsVet","Mantua, NJ","en",207589993,0,FALSE,"http://pbs.twimg.com/profile_images/2167571402/link_and_mack_raffo_4_2012_normal.jpg",-77.0722585,38.9076089
"alvinhealthcare","Your Mobile Healthcare Network to Doctors and Nurses 24/7/365 with any device from anywhere!",100,322,1232,1597,"https://t.co/XLBq6utZ0j","Hello Alvin","2016-07-30 23:53:25",FALSE,FALSE,"alvinhealthcare","New York and Colorado","en",759537410841600000,3,FALSE,"http://pbs.twimg.com/profile_images/969562680573898753/ciu6JwuV_normal.jpg",-95.712891,37.09024
"medicagoinc","Leading clinical-stage biopharmaceutical company using disruptive plant-based and virus-like particle (VLP) technologies to rapidly develop innovative products.",61,46,46,126,"https://t.co/qfgpkp2BSl","Medicago","2017-10-04 20:15:48",FALSE,FALSE,"medicagoinc","Québec, Canada","en",915671816986873856,1,FALSE,"http://pbs.twimg.com/profile_images/915673146342170624/nc6Cjwpo_normal.jpg",-106.346771,56.130366
"patrickstoneqa","Author of Bubble Gum Badge an FDA His-Story. I dedicate this book to the front-line FDA investigators, Laboratory Staff, admin, and the Review Division.",3768,1278,343,1652,"https://t.co/TLnsMctAwE","Patrick Stone","2011-07-28 11:09:42",FALSE,FALSE,"patrickstoneqa","Austin, TX ","en",343982309,47,FALSE,"http://pbs.twimg.com/profile_images/600396720934031362/indudxf5_normal.jpg",-120.7401385,47.7510741
"MainePHA","The Maine Public Health Association (MPHA) is the voice of public health in Maine. We extend and advance public health, especially through public policy.",921,519,238,149,"http://t.co/PGZSbsDCQX","ME Public Hlth Assoc","2010-05-27 16:40:52",FALSE,FALSE,"MainePHA","Maine","en",148798010,18,FALSE,"http://pbs.twimg.com/profile_images/964503965361737728/SobZzpV0_normal.jpg",-77.1710914,38.882334
"Veggie_Quest","Look good, feel great the #plantbased way! Lee Crosby, RD,  makes #healthyfood tasty & easy. Views expressed are my own and do not reflect those of my employer.",1456,1024,926,990,"https://t.co/2coJfJyMcl","Veggie Quest","2012-09-28 21:14:32",FALSE,FALSE,"Veggie_Quest","Maryland","en",851753252,50,FALSE,"http://pbs.twimg.com/profile_images/833834326336950277/QZeYGUFL_normal.jpg",-119.4179324,36.778261
"ColleenFlood2","Professor in Health Law & Policy",2098,1641,544,797,"http://t.co/9m4I8mO3NF","Colleen M. Flood","2014-06-15 16:11:42",FALSE,FALSE,"ColleenFlood2","University of Ottawa","en",2569284643,40,FALSE,"http://pbs.twimg.com/profile_images/487641793584832513/_Oh7rAUG_normal.jpeg",-93.2918843,37.1826795
"DrToddWo","Pediatrician, Lact-Consult, Play Advocate, Early Child Investment. CEO: @KidsPlusPgh, BF Center Pgh, @NBfCenter. Play-Work-Create Sleep [Repeat]",7825,874,8276,912,"https://t.co/eXfdbzDYHo","Dr. Todd Wolynn","2008-06-03 05:01:19",FALSE,FALSE,"DrToddWo","Pittsburgh, PA","en",14989473,46,FALSE,"http://pbs.twimg.com/profile_images/477981240705175554/fA99NueV_normal.jpeg",-70.5573124,-33.3989812
"1069KissFM1","Hot Adult Contemporary Music Station",20008,463,2193,310,"https://t.co/8DIRLpDvDf","106.9 Kiss FM","2015-03-06 14:33:30",FALSE,FALSE,"1069KissFM1","106 W 3rd St., Jamestown, NY","en",3074972590,53,FALSE,"http://pbs.twimg.com/profile_images/573855644022767616/NMiCaZf1_normal.jpeg",-5.9844589,37.3890924
"MidCity_OBGYN","Mid-City OBGYN, located in Aksarben and West Omaha, provides leading care for women, from adolescence to menopause.",76,9,0,10,"https://t.co/yihiiemD3o","Mid-City OBGYN","2017-05-18 14:45:07",FALSE,FALSE,"MidCity_OBGYN","Omaha, NE","en",865216683883016192,1,FALSE,"http://pbs.twimg.com/profile_images/865217900365332481/k4NgVXBd_normal.jpg",-123.1207375,49.2827291
"atlasnova","",134,12,0,2,"http://t.co/6cp0I688as","atlasnova","2009-06-02 14:43:17",FALSE,FALSE,"atlasnova","United States of America","en",44130082,0,FALSE,"http://pbs.twimg.com/profile_images/640968830777319424/hAYqd7Dx_normal.jpg",-121.4943996,38.5815719
"CJMix1051","Mix 105.1 Orlando. Actor. Host. Blogger. Agent: Novy Talent Group. Swiftie.",6784,1560,2550,671,"https://t.co/f1MyC8wFWK","Clint J Robinson","2009-04-06 22:24:20",FALSE,TRUE,"CJMix1051","Orlando, Florida","en",29310058,30,FALSE,"http://pbs.twimg.com/profile_images/935913947659751425/IlyO8gIJ_normal.jpg",-106.346771,56.130366
"AFHomemaker","I am a WAHM and housewife. I blog about homeschool,our faith, politics, and life in general. Hubby is Active Duty in the Army---HOOAH! Phil 4:8",14938,10105,1819,9807,"https://t.co/pPzkW9dNMd","Laura Prater","2013-08-12 18:48:47",FALSE,FALSE,"AFHomemaker","Nashville, TN","en",1665774050,322,FALSE,"http://pbs.twimg.com/profile_images/842516174919221248/5YCQdmLF_normal.jpg",-118.4694832,33.9850469
"DrPanMD","Dr. Pan, a pediatrician and educator, represents Sacramento in the California Senate.  With his wife, he raises two sons and runs a small business.",10710,8416,49964,1429,"http://t.co/BpSlyazmbz","Dr. Richard Pan","2011-02-03 20:27:38",FALSE,FALSE,"DrPanMD","Sacramento, CA","en",246961837,370,FALSE,"http://pbs.twimg.com/profile_images/796355786133770240/bHlezM3D_normal.jpg",-99.9018131,31.9685988
"MGH_BlumCenter","The Blum Center at Mass General is a health library & patient education center dedicated to helping patients, families, & friends learn about health & illness.",1526,547,2136,437,"http://t.co/Wj6gf5Egam","MGH Blum Center","2012-09-06 15:17:28",FALSE,FALSE,"MGH_BlumCenter","55 Fruit Street, Boston, Ma","en",807030848,29,FALSE,"http://pbs.twimg.com/profile_images/2582971322/Blum_Signfortwitter_normal.JPG",-87.9645077,41.8500302
"MyQ105","Tampa Bay’s hits of the 70’s, 80’s and more! Call 1-800-990-1047, listen online at https://t.co/AdPXlAtWe4 or the Q105 app!",34616,3728,994,4105,"https://t.co/AD7TySmGOc","Q105","2009-10-20 12:02:54",FALSE,FALSE,"MyQ105","Tampa Bay, Florida","en",83828822,232,FALSE,"http://pbs.twimg.com/profile_images/727204336984547328/xF0edP5q_normal.jpg",-79.8997755,39.8467433
"XanderTaylor3","Clean Water Access; Independent Chaplain; Policy Wonk; Art & Music; Learning Disabled; World News; Keynesian; Tax Reform; Lady Preacher.",109101,9389,118392,3202,"https://t.co/32YPflF2s6","Xander Taylor","2009-09-12 19:40:12",FALSE,FALSE,"XanderTaylor3","Palm Beach Gardens, FL","en",73717605,247,FALSE,"http://pbs.twimg.com/profile_images/776475010865123328/tP5KBu-h_normal.jpg",-75.6831329,45.4231064
"SecAzar","Alex Azar is the 24th Secretary of the U.S. Department of Health & Human Services (@HHSgov). Privacy policy: https://t.co/zEIuizSSBB",164,5326,12,151,"https://t.co/OdwmH6escY","Alex Azar","2018-01-24 21:53:46",FALSE,TRUE,"SecAzar","Washington, DC","en",956283913835614208,75,FALSE,"http://pbs.twimg.com/profile_images/967079685879451648/gq-LdZRV_normal.jpg",-97.4974838,25.9017472
"UMneurosciences","The University of Michigan Clinical Neurosciences center is at the forefront of patient care, education and research in neurology and neurosurgery.",465,398,158,341,"https://t.co/GvTa2t8sRW","UMichNeurosciences","2016-12-20 14:51:21",FALSE,FALSE,"UMneurosciences","Ann Arbor, MI","en",811222462490902528,4,FALSE,"http://pbs.twimg.com/profile_images/875409483069083649/fCVyvF-c_normal.jpg",-122.6833044,49.120776
"Luminex","Luminex empowers laboratories to obtain reliable, timely, and actionable answers, ultimately advancing health.",3300,2037,401,679,"http://t.co/t8dfYzP2wN","Luminex","2009-03-18 14:51:23",FALSE,FALSE,"Luminex","Austin, TX","en",25084400,71,FALSE,"http://pbs.twimg.com/profile_images/3498697136/662ffecf7f6dd3118304980e2e64cae6_normal.png",-102.552784,23.634501
"ZackCarpinello","Athletic trainer |Strength coach| Professional wrestler as Zack Clayton https://t.co/m9uOh3ADQb & FB | Purium Special offer : CARPINELLO",7308,533,3831,475,"https://t.co/aYitIpUfPr","Zack Carpinello","2013-01-01 06:45:26",FALSE,FALSE,"ZackCarpinello","New York","en",1052002591,2,FALSE,"http://pbs.twimg.com/profile_images/706583830900183040/O89_SFlH_normal.jpg",-79.3831843,43.653226
"sheady79","Insurance Agency Owner, workaholic, playful soul, F. &A. M. Hopeful. Bacon enthusiast. We are Farmers, Bum Badum Bum Bum Bum Bum!",4061,732,1828,1209,"https://t.co/J5cWHkmKlF","Shea Dibley","2009-08-10 16:21:43",FALSE,FALSE,"sheady79","iPhone: 908-619-3171","en",64442027,45,FALSE,"http://pbs.twimg.com/profile_images/1534842828/Shea_Bio2twitter_1__normal.jpg",-86.5804473,35.5174913
"iAIDcare","iAID is a premier Home Health Care corporation serving the communities of Windsor and London Ontario .  Your Care...Our Mission  https://t.co/SbKdpdVClK",4994,6586,4946,1004,"https://t.co/04zzV2nOOW","iAID Ltd.","2015-02-16 20:49:49",FALSE,FALSE,"iAIDcare","Windsor Ontario ","en",3041446054,54,FALSE,"http://pbs.twimg.com/profile_images/873026541248061440/Cauu_1oQ_normal.jpg",-93.7400446,36.4045254
